기준일자,누적 검사 수,격리 해제 수,사망자 수,확진자 수,치료중 환자 수,치명률
20220301,22072870,0,8170,3273431,0,0.0025
20220302,22072870,0,8266,3492659,0,0.0024
20220303,22072870,0,8394,3691459,0,0.0023
20220304,22072870,0,8579,3958309,0,0.0022
20220305,22072870,0,8795,4212636,0,0.0021
20220306,22072870,0,8956,4456261,0,0.002
20220307,22072870,0,9095,4666970,0,0.0019
20220308,22072870,0,9281,4869672,0,0.0019
20220309,22072870,0,9439,5212101,0,0.0018
20220310,22072870,0,9645,5539639,0,0.0017
20220311,22072870,0,9874,5822612,0,0.0017
20220312,22072870,0,10143,6206229,0,0.0016
20220313,22072870,0,10394,6556411,0,0.0016
20220314,22072870,0,10594,6866190,0,0.0015
20220315,22072870,0,10887,7228473,0,0.0015
20220316,22072870,0,11051,7629066,0,0.0014
20220317,22072870,0,11480,8250270,0,0.0014
20220318,22072870,0,11781,8657109,0,0.0014
20220319,22072870,0,12100,9038522,0,0.0013
20220320,22072870,0,12427,9373175,0,0.0013
20220321,22072870,0,12756,9582314,0,0.0013
20220322,22072870,0,13140,9936142,0,0.0013
20220323,22072870,0,13431,10426913,0,0.0013
20220324,22072870,0,13900,10822439,0,0.0013
20220325,22072870,0,14293,11161890,0,0.0013
20220326,22072870,0,14616,11497431,0,0.0013
20220327,22072870,0,14898,11815506,0,0.0013
20220328,22072870,0,15185,12002688,0,0.0013
20220329,22072870,0,15422,12350188,0,0.0012
20220330,22072870,0,15854,12774654,0,0.0012
20220331,22072870,0,16229,13095337,0,0.0012
20220401,22072870,0,16589,13375568,0,0.0012
20220402,22072870,0,16928,13639688,0,0.0012
20220403,22072870,0,17234,13873953,0,0.0012
20220404,22072870,0,17452,14001116,0,0.0012
20220405,22072870,0,17661,14267201,0,0.0012
20220406,22072870,0,18032,14553448,0,0.0012
20220407,22072870,0,18380,14778232,0,0.0012
20220408,22072870,0,18753,14983531,0,0.0013
20220409,22072870,0,19091,15169056,0,0.0013
20220410,22072870,0,19420,15333512,0,0.0013
20220411,22072870,0,19678,15424429,0,0.0013
20220412,22072870,0,19849,15635144,0,0.0013
20220413,22072870,0,20033,15830526,0,0.0013
20220414,22072870,0,20351,15978935,0,0.0013
20220415,22072870,0,20615,16104735,0,0.0013
20220416,22072780,0,20888,16212617,0,0.0013
20220417,22072870,0,21091,16305595,0,0.0013
20220418,22072870,0,21223,16353325,0,0.0013
20220419,22072870,0,21353,16471787,0,0.0013
20220420,22072870,0,21519,16583076,0,0.0013
20220421,22072870,0,21666,16673919,0,0.0013
20220422,22072870,0,21872,16754952,0,0.0013
20220423,22072870,0,22023,16830375,0,0.0013
20220424,22072870,0,22132,16895079,0,0.0013
20220425,22072870,0,22242,16929440,0,0.0013
20220426,22072870,0,22324,17009707,0,0.0013
20220427,22072870,0,22465,17086471,0,0.0013
20220428,22072870,0,22587,17143917,0,0.0013
20220429,22072870,0,22723,17194473,0,0.0013
20220430,22072870,0,22793,17237717,0,0.0013
